trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1768783467539_swipe,swipe,near/bright,1,1768783468450,4,4,505.437,159.405,0.369,711.351,4,0,4
1768783467539_swipe,swipe,near/bright,2,1768783468912,4,4,88.7,148.63,0.568,287.34,0,0,4
1768783467539_swipe,swipe,near/bright,3,1768783469366,4,4,91.912,149.66,0.521,291.12,0,0,4
1768783467539_swipe,swipe,near/bright,4,1768783469847,4,4,98.535,157.063,0.606,306.844,0,0,4
1768783467539_swipe,swipe,near/bright,5,1768783470306,4,4,92.37,147.858,0.528,288.26,0,0,4
1768783467539_swipe,swipe,near/bright,6,1768783470791,4,4,92.057,162.262,0.58,308.079,0,0,4
1768783467539_swipe,swipe,near/bright,7,1768783471253,4,4,90.257,150.788,0.547,289.951,0,0,4
1768783467539_swipe,swipe,near/bright,8,1768783471714,4,4,89.441,151.498,0.58,293.29,0,0,4
1768783467539_swipe,swipe,near/bright,9,1768783472175,4,4,92.761,149.054,0.589,288.327,0,0,4
1768783467539_swipe,swipe,near/bright,10,1768783472646,4,4,95.119,151.394,0.579,295.832,0,0,4
1768783467539_swipe,swipe,near/bright,11,1768783473207,4,4,125.677,186.069,0.556,369.69,0,0,4
1768783467539_swipe,swipe,near/bright,12,1768783473955,4,4,217.497,207.943,0.552,484.97,0,0,4
1768783467539_swipe,swipe,near/bright,13,1768783474567,4,4,133.004,184.307,0.47,384.092,0,0,4
1768783467539_swipe,swipe,near/bright,14,1768783475304,4,4,165.097,249.139,1.047,492.712,0,0,4
1768783467539_swipe,swipe,near/bright,15,1768783476156,4,4,203.632,273.266,0.949,571.808,0,0,4
1768783467539_swipe,swipe,near/bright,16,1768783476969,4,4,167.195,288.253,1.024,546.912,0,0,4
1768783467539_swipe,swipe,near/bright,17,1768783477829,3,3,219.348,225.569,0.829,535.881,0,1,3
1768783467539_swipe,swipe,near/bright,18,1768783478584,4,4,178.97,218.196,0.829,479.463,1,0,4
1768783467539_swipe,swipe,near/bright,19,1768783479317,4,4,160.709,239.625,0.861,482.451,0,0,4
1768783467539_swipe,swipe,near/bright,20,1768783480073,4,4,169.221,231.066,0.807,484.442,0,0,4
