trial_id,lighting,distance,stable_acc,miss_rate,wrong_rate,lat_total_ms_med,lat_total_ms_p95,fps_med,csv
Bright_Near_20260114_210100_T1,Bright,Near,0.91,0.028,0.015,27.401388645538212,39.19291082512777,24.987367227462435,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Bright_Near_20260114_210100_T1_per_frame.csv
Bright_Near_20260114_210200_T2,Bright,Near,0.895,0.026,0.021,27.90588644425918,40.24964657061668,24.81653249634195,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Bright_Near_20260114_210200_T2_per_frame.csv
Bright_Mid_20260114_210300_T3,Bright,Mid,0.85,0.044,0.032,29.96476294248461,43.5666238584939,25.136052330348136,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Bright_Mid_20260114_210300_T3_per_frame.csv
Bright_Mid_20260114_210400_T4,Bright,Mid,0.85,0.048,0.029,30.058256038119637,44.47750625435795,25.051327437797074,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Bright_Mid_20260114_210400_T4_per_frame.csv
Bright_Far_20260114_210500_T5,Bright,Far,0.766,0.085,0.048,34.21565546387589,56.64516909919391,25.32630649153809,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Bright_Far_20260114_210500_T5_per_frame.csv
Bright_Far_20260114_210600_T6,Bright,Far,0.796,0.063,0.035,32.70936501203447,55.53298993858858,24.710666673223766,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Bright_Far_20260114_210600_T6_per_frame.csv
Daylight_Near_20260114_210700_T7,Daylight,Near,0.881,0.024,0.016,28.97459823717122,41.50802456521991,25.129191478516148,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Daylight_Near_20260114_210700_T7_per_frame.csv
Daylight_Near_20260114_210800_T8,Daylight,Near,0.88,0.033,0.017,26.977183473730726,39.69476706721145,24.979848858310916,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Daylight_Near_20260114_210800_T8_per_frame.csv
Daylight_Mid_20260114_210900_T9,Daylight,Mid,0.853,0.055,0.024,31.604925258321646,46.42546964282037,24.726295062099258,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Daylight_Mid_20260114_210900_T9_per_frame.csv
Daylight_Mid_20260114_211000_T10,Daylight,Mid,0.842,0.055,0.028,30.507065974535298,45.20832640890056,25.08693948609418,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Daylight_Mid_20260114_211000_T10_per_frame.csv
Daylight_Far_20260114_211100_T11,Daylight,Far,0.775,0.072,0.044,36.427742227084664,56.188487724864075,24.89566942475352,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Daylight_Far_20260114_211100_T11_per_frame.csv
Daylight_Far_20260114_211200_T12,Daylight,Far,0.761,0.086,0.045,33.47448444096154,54.24855533352363,25.063642875364053,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Daylight_Far_20260114_211200_T12_per_frame.csv
Dim_Near_20260114_211300_T13,Dim,Near,0.813,0.066,0.05,34.98929108816727,55.50838430721465,25.010146565570533,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Dim_Near_20260114_211300_T13_per_frame.csv
Dim_Near_20260114_211400_T14,Dim,Near,0.81,0.065,0.045,33.292952988564075,52.9448213105918,25.07270232289636,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Dim_Near_20260114_211400_T14_per_frame.csv
Dim_Mid_20260114_211500_T15,Dim,Mid,0.683,0.116,0.072,41.69528586791224,73.13203576625604,25.12873541676135,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Dim_Mid_20260114_211500_T15_per_frame.csv
Dim_Mid_20260114_211600_T16,Dim,Mid,0.7,0.1,0.07,45.29491676191026,73.90606233023912,25.001657171105208,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Dim_Mid_20260114_211600_T16_per_frame.csv
Dim_Far_20260114_211700_T17,Dim,Far,0.607,0.164,0.086,47.52593258846643,90.17916993987357,24.964176159008574,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Dim_Far_20260114_211700_T17_per_frame.csv
Dim_Far_20260114_211800_T18,Dim,Far,0.605,0.154,0.093,47.938111666356065,88.58205562930614,25.21083784697374,/mnt/data/pinch_synthetic_logs/logs/session_20260114_210000_SYNTHETIC/Dim_Far_20260114_211800_T18_per_frame.csv
